ano,classe,num_px,porc_rel
1993,4,218009,0.22748928376661956
1993,25,167667,0.17495812439531305
1993,46,104054,0.10857886570302985
1993,48,63331,0.06608499571221273
1993,12,62136,0.06483803024702041
1993,30,2078,0.00216836337796621
1993,29,474,0.000494612243097201
1994,15,29820972,31.117759181980638
1994,20,18315593,19.112060205454412
1994,21,17279962,18.031394019945978
1994,3,12910079,13.471483402430525
1994,39,4271217,4.456954053006113
1994,9,3696019,3.8567431394934037
1994,41,3661905,3.8211456667908346
1994,11,2031774,2.1201272059210385
1994,24,1239181,1.293067708889098
1994,33,1092909,1.1404349620065797
1994,47,908449,0.9479535814966437
1994,4,223518,0.23323784673544337
1994,25,143457,0.1496953345105383
1994,46,108087,0.11278724371233577
1994,48,67144,0.07006380685763387
1994,12,59729,0.06232636005897198
1994,30,2178,0.0022727119524592904
1994,29,473,0.0004935687573522701
1995,15,29256260,30.528490259989272
1995,20,19108834,19.93979588124907
1995,21,17470847,18.230579796367095
1995,3,12692728,13.24468073228407
1995,39,4618744,4.81959352348468
1995,9,3750461,3.913552590418927
1995,41,2964518,3.093432273590776
1995,11,2006051,2.0932856221041836
1995,24,1299633,1.3561485091416552
1995,33,1093455,1.1410047052233119
1995,47,972869,1.0151749331850861
1995,4,228569,0.23850849323308887
1995,25,129605,0.1352409699717568
1995,46,116668,0.12174139488958699
1995,48,60968,0.06361923889694124
1995,12,59637,0.06223035937043833
1995,30,2316,0.002416712985259741
1995,29,472,0.0004925252716073393
1995,31,11,1.147834319423884e-05
1996,15,28669283,29.915988127887026
1996,20,20487077,21.377972804799732
1996,21,17068707,17.810952438900625
1996,3,12522228,13.066766412773367
1996,39,4385959,4.576685694350963
1996,9,3786143,3.950786248769548
1996,41,2841227,2.9647798726125125
1996,11,1986457,2.072839562418009
1996,24,1362659,1.4219152417016638
1996,33,1085245,1.13243768725743
1996,47,1044518,1.089939643323633
1996,4,235617,0.2458629807633612
1996,25,119929,0.12514420190380635
1996,46,117938,0.12306662178564912
1996,12,58672,0.061223395626580114
1996,48,58080,0.06060565206558108
1996,30,2417,0.0025221050454977524
1996,29,472,0.0004925252716073393
1996,31,18,1.8782743408754465e-05
1997,15,28127132,29.350261287787045
1997,20,21287441,22.21314122955553
1997,21,17031984,17.77263251188953
1997,3,12342891,12.879630809734714
1997,39,3936660,4.107848592639297
1997,9,3869810,4.038091570590673
1997,41,3014327,3.145407255060034
1997,11,1953594,2.0385474903823484
1997,24,1415750,1.4773149433857853
1997,47,1154340,1.2045373348034238
1997,33,1100229,1.148073277659473
1997,4,247277,0.25803002454925433
1997,46,123374,0.12873901029509296
1997,25,111014,0.11584152648774824
1997,48,58041,0.060564956121528776
1997,12,55529,0.057943719930262594
1997,30,2587,0.002699497622135989
1997,29,473,0.0004935687573522701
1997,31,193,0.0002013927487716451
1998,15,27618158,28.819154174246638
1998,20,21618912,22.55902649291349
1998,21,17340789,18.094866127352883
1998,3,12268136,12.80162503287241
1998,9,3901090,4.070731804692109
1998,39,3513018,3.665784204685322
1998,41,3228258,3.368641203958826
1998,11,1930299,2.014239489954185
1998,24,1468981,1.5328607330741968
1998,47,1204475,1.2568524926255298
1998,33,1105607,1.153685143995711
1998,4,276613,0.2886417223625444
1998,46,130712,0.1363961086913952
1998,25,111247,0.1160846586663171
1998,48,58723,0.061276613399571585
1998,12,54227,0.05658510149036269
1998,30,2686,0.0028028027108841385
1998,29,474,0.000494612243097201
1998,31,241,0.0002514800645283237
1999,15,27020572,28.195581701876414
1999,20,21706997,22.65094193475572
1999,21,17142025,17.88745872674746
1999,3,12208352,12.739241281097465
1999,39,4452058,4.645659058605143
